35423	6.4	71496
66853	5.9	31
88751	5.8	178
94859	7.8	55
96056	6.3	580
97540	7.4	5
100275	6.7	78
102362	7.2	5
108549	7.7	23
112912	5.1	12
113086	7.1	18
113092	3.5	711
114447	4.4	116
114722	6.8	25
115686	6.5	24
115937	7.7	12
116391	6.4	171
116617	3.7	94
116628	6.9	46
116748	4.4	189
117461	6.0	17
117743	6.8	48
118141	5.9	802
118578	3.6	615
118589	2.2	20380
118652	5.1	1515
118694	8.1	97767
118710	6.8	121
118852	7.3	3350
118911	5.5	172
118926	7.0	5965
119004	5.9	3633
119231	4.7	130
119273	5.4	6928
119495	5.0	125
119727	5.0	75
119806	6.0	33
119866	5.8	61
119966	6.0	6
119970	5.7	95
119980	6.5	70
120117	4.8	354
120166	4.7	415
120202	6.8	19197
120225	2.5	235
120263	7.7	14895
120454	7.3	388
120467	5.3	3743
120485	6.2	45
120607	4.8	63
120624	6.7	149
120626	7.1	2600
120630	7.0	156909
120667	5.7	288365
120673	6.4	26
120679	7.4	71003
120681	6.8	135500
120698	4.5	289
120733	5.7	251
120737	8.8	1425387
120753	5.9	19515
120755	6.1	271393
120804	6.7	223542
120807	4.9	236
120824	6.8	30322
120870	5.1	29
120903	7.4	512339
120912	6.1	295545
120913	6.6	55181
120917	7.3	150126
121164	7.4	214125
121765	6.6	545341
121766	7.6	608149
122132	4.8	248
122161	4.9	269
122247	5.3	696
122459	6.9	17758
123003	6.2	1252
123581	4.9	54
124889	5.4	85
125022	6.2	47448
126029	7.9	529911
126899	2.8	76
127349	6.6	6300
128154	7.8	16
128158	5.0	84
128165	4.0	51
128216	1.7	203
128997	5.8	15
129095	7.7	13
130623	6.5	44731
131596	4.5	448
131597	4.8	11
131704	4.2	17882
132078	5.9	217
132245	4.6	36618
132885	4.6	340
132910	5.0	9806
133063	7.1	132
133152	5.7	196049
133240	7.1	84900
133752	6.8	53
134084	5.5	109408
134630	6.0	8646
134847	7.1	208766
134983	4.8	15845
135707	6.5	320
135986	5.4	9
135991	4.4	112
136517	4.1	67
137115	7.4	31
137204	8.8	253
138288	6.4	66
138353	6.5	372
138524	6.3	82971
138583	6.4	5
138631	5.6	254
138681	5.8	1067
138749	6.9	70433
138818	7.2	50
138856	6.8	8
138927	6.4	354
138946	6.4	17725
139159	7.7	7
139388	5.7	1628
139494	7.0	7
139500	7.2	1085
139654	7.7	341327
140806	7.4	58
141120	4.1	321
141399	5.4	2122
141907	4.4	4399
141926	6.6	70464
142634	3.5	512
142650	5.0	223
143344	4.1	162
143558	5.2	50
144084	7.6	409164
144142	5.2	3431
144280	4.5	52
144528	4.4	43867
144574	7.2	47
144608	5.3	515
144964	4.6	17790
145467	5.7	122
145487	7.3	611029
146063	6.5	216
146272	5.5	125
146309	7.3	49140
146316	5.8	178452
146592	6.8	420
146803	7.6	1462
146882	7.5	154398
146984	6.7	49341
147486	5.6	96
148031	6.4	142
148095	5.5	40
148120	6.4	20
148415	3.7	48
148421	6.9	250
149253	6.1	178
149367	6.3	4844
149624	5.8	12159
150021	4.6	1389
151150	6.2	8222
151299	5.9	11
151309	6.8	127
151685	6.8	15
152083	5.7	61
153012	3.9	79
153100	8.0	28
153140	6.0	171
153464	6.0	2467
153533	6.1	14
153821	5.3	33
154039	4.6	62
154187	6.8	119
154352	7.1	56
155150	5.5	314
155198	4.0	110
155723	6.9	302
155754	6.4	570
156020	6.2	560
156100	4.0	118
156263	7.7	10
156323	5.7	7465
156376	6.6	83
156741	5.0	539
156757	6.0	1799
156807	4.3	969
156812	7.0	17878
156841	4.7	9984
156942	5.1	134
157007	3.9	276
157122	7.5	3007
157191	5.7	1270
157202	4.8	37
157262	3.4	10299
157472	5.2	12294
157500	7.8	9
157583	6.4	18830
158033	6.1	1484
158404	5.7	81
158581	5.4	668
158607	3.8	57
158622	3.6	17869
158871	5.4	174
159254	7.5	22
159273	6.4	92715
159291	5.1	242
159293	4.0	194
159365	7.2	128290
159369	8.1	45
159371	7.8	60
159378	5.5	28
159396	3.7	133
159784	6.3	6244
160009	5.7	26843
160127	5.5	157866
160182	4.3	321
160184	5.3	21443
160239	5.1	94
160240	7.6	28
160256	6.1	133
160261	6.2	47
160270	5.6	10
160275	7.0	146
160289	5.6	1199
160370	4.9	49
160399	6.2	21251
160403	6.0	1063
160405	3.3	79
160413	7.3	14
160425	6.2	17
160434	4.4	173
160480	7.0	10
160484	4.8	9887
160495	4.7	829
160498	3.7	518
160547	4.9	338
160550	6.5	287
160607	7.6	7
160611	6.4	12485
160616	5.9	211
160644	5.6	2932
160652	4.7	283
160663	5.7	219
160706	5.7	849
160710	6.9	226
160749	6.3	868
160751	7.6	15
160759	6.9	128
160797	6.4	40519
160816	5.8	17
160859	3.5	96
160870	5.5	34
160905	5.4	355
161003	6.9	223
161021	8.2	16
161081	6.6	106733
161083	5.5	13677
161088	3.2	245
161102	7.2	19
161216	6.4	2110
161509	7.0	15
161539	4.1	156
161860	7.6	11440
162030	4.1	223
162203	5.7	25
162222	7.8	450247
162346	7.4	104254
162650	5.9	63277
162711	5.0	1353
162838	5.8	212
162862	7.2	53
162901	5.9	151
162942	6.9	115
162983	4.8	10962
163025	5.9	255769
163080	5.9	372
163125	5.3	271
163141	6.1	319
163246	3.2	154
163596	5.3	193
163676	4.6	3897
163745	6.6	596
163764	5.9	190
163978	6.6	199651
163983	5.1	12969
164003	6.0	4601
164052	5.7	111164
164182	8.3	11
164184	6.4	93610
164192	4.7	513
164212	6.5	19898
164318	5.8	185
164334	6.3	65397
164545	4.0	389
164555	6.1	7
164810	6.1	930
164953	7.0	26
164961	6.5	19522
165186	7.6	9
165361	6.3	5645
165400	3.7	181
165713	6.9	9
165800	4.1	461
165832	7.7	26315
165899	8.1	8
165928	4.4	204
165929	6.1	61493
165982	6.7	42076
166013	6.6	642
166110	4.1	6006
166158	5.7	1948
166186	5.0	28
166192	3.0	191
166276	4.7	15422
166339	7.8	9
166370	5.2	1323
166649	7.2	36
166709	7.1	597
166773	7.0	5
166813	7.1	53753
166871	6.5	87
166924	8.0	276604
167096	6.4	21
167116	6.1	2755
167183	5.0	181
167190	6.9	273162
167203	5.6	4028
167260	8.9	1408086
167261	8.7	1273352
167339	5.9	24
167360	5.5	816
167367	4.5	444
167380	6.5	296
167456	4.2	12084
167802	6.0	8
168446	7.2	2810
168504	5.7	1415
168509	6.2	21
168578	5.7	97
168612	5.6	145
168629	8.0	89206
168631	4.8	474
168714	2.9	13
168786	7.3	29342
168847	7.0	46
168849	7.2	57
168856	5.9	4999
169084	8.4	9
169102	8.1	87554
169122	3.4	364
169324	6.2	563
169543	5.6	618
169579	6.5	34
170008	5.6	102
170016	6.1	166811
170260	5.6	425
170367	5.7	35
170452	5.2	502
170508	7.1	133
170517	6.1	525
170549	5.9	120
170635	5.4	32
170691	7.0	35519
171126	4.6	5
171339	4.6	96
171356	5.7	6394
171359	6.0	8539
171433	6.4	47067
171436	7.6	8
171580	6.2	31374
171827	7.7	72
171928	6.8	954
172109	1.7	671
172156	6.6	197789
172160	4.6	47
172464	2.6	345
172495	8.5	1142480
172543	7.1	3006
172632	6.6	1416
172699	4.6	184
172794	4.2	341
172949	3.6	61
172995	5.7	179
173498	4.5	215
173568	6.0	358
173716	6.2	12241
173840	6.4	76673
173999	6.5	189
174027	7.2	198
174336	4.4	3761
174448	4.6	14
174480	5.6	22420
174646	5.8	30
174732	6.0	131
175038	5.0	23
175114	7.3	23
175142	6.2	206853
175143	5.7	28
175203	5.9	547
175526	5.1	10848
175557	6.7	317
176001	7.3	10
176185	5.3	211
176244	3.2	336
176578	6.9	10
176579	2.5	374
176650	2.7	369
176694	7.8	527
176724	8.3	6
176783	5.9	13354
176883	5.2	247
177068	5.3	625
177185	3.9	293
177195	4.7	332
177213	7.4	48
177513	5.3	29
177636	5.6	233
177650	5.4	1874
177845	6.5	1033
177858	7.8	18705
177882	6.7	4594
177885	4.7	415
177888	6.1	490
177971	6.4	142848
177997	4.1	221
178043	6.3	1163
178050	5.7	1355
178055	6.8	43
178642	5.6	2805
178655	5.0	254
178866	5.2	63
179098	6.7	12691
179137	7.1	423
179144	6.2	48
179183	4.5	5910
179344	2.9	164
179400	6.2	54
179435	5.4	646
179443	3.5	994
179473	4.2	1284
179626	6.1	45420
179653	7.2	64
179677	4.9	61
179735	5.5	48
179803	5.6	114
179844	6.3	9
179861	3.9	816
179915	3.7	37
179987	6.3	46
180052	3.8	21865
180073	7.3	47924
180093	8.3	666468
180273	6.9	243
180303	5.7	572
180658	7.4	15
180679	6.5	1553
180683	6.3	105
180734	6.4	25371
180767	6.0	6
180837	6.5	1634
180894	7.2	117
181151	5.6	8593
181284	5.7	7
181311	5.5	719
181317	5.5	135
181536	7.3	77330
181548	4.3	74
181594	7.6	42
181689	7.7	448824
181739	6.3	28415
181796	6.2	36
181819	5.8	236
181836	5.9	2054
181852	6.3	337029
181865	7.6	181691
181875	7.9	227394
181912	6.5	2487
181945	7.0	88
181984	7.0	45113
182000	5.9	5923
182027	5.8	65
182295	6.1	4084
182508	7.0	2820
183056	6.7	814
183113	5.4	71
183142	2.3	207
183280	3.4	320
183423	3.8	84
183488	6.3	36
183505	6.6	202895
183523	5.6	65355
183527	4.8	5
183550	6.6	496
183595	7.4	172
183639	5.3	111
183649	7.1	228940
183659	7.0	24941
183790	6.9	151601
183808	5.1	462
183869	6.5	45491
183946	6.5	84
184009	6.2	25
184384	6.7	99
184387	7.1	15
184457	4.6	127
184516	5.4	14
184596	6.9	412
184719	6.9	262
184791	6.2	18192
184849	2.6	8
184858	5.7	34111
184894	6.6	107350
184907	5.0	10309
185007	5.2	237
185014	7.4	57577
185170	6.2	35
185183	2.4	70601
185215	6.4	56
185278	5.1	11
185431	5.3	88233
185542	6.4	370
185947	7.0	9
186029	5.2	36
186045	5.6	12396
186151	7.4	91055
186183	6.2	2856
186202	5.8	718
186221	7.9	15
186454	3.5	321
186549	5.7	327
186566	6.4	66064
186589	5.6	12340
186719	4.4	123
186785	7.6	23
186894	5.7	18727
186895	5.7	986
186975	4.9	13178
187078	6.5	238028
187251	3.9	895
187279	4.6	601
187387	5.6	111
187393	7.2	229113
187474	6.1	567
187512	5.1	5090
187559	6.1	751
187696	6.1	10791
187738	6.7	178503
187750	5.0	315
187761	5.8	66
187838	7.2	10
187847	6.7	34
187880	5.7	139
188024	7.5	22
188028	7.0	117
188045	5.6	255
188055	5.4	1997
188128	6.8	1105
188135	5.4	369
